 ,en_US,pt_BR,fr,hi_IN,yo_NG,ja,zh_CN,ar,ru_RU
Copy Mnemonic,Copy Mnemonic,Copiar Mnemônico,Copier le mnémonique,निमोनिक कॉपी करें,Daakọ Mnemonic,秘密鍵をコピーする,复制私钥,نسخ المفتاح الخاص,Скопировать мнемонику
Proceed,Proceed,Continuar,Procéder,आगे बढ़ना,Tesiwaju,進む,继续,يتابع,Продолжить
Fund Account,Fund Account,Conta de Fundo,Compte de fonds,निधि खाता,Owo Account,基金口座,资金账户,حساب الصندوق,Пополнить счёт
Make Payment,Make Payment,Faça o pagamento,Effectuer le paiement,भुगतान करें,Ṣe owo sisan,支払う,付款,قم بالدفع,Оплатить
Create New Account,Create New Account,Criar nova conta,Créer un nouveau compte,नया खाता बनाएँ,Ṣẹda Account Tuntun,新しいアカウントを作成する,建立新帐户,انشاء حساب جديد,Создать новый аккаунт
Confirm,Confirm,Confirmar,Confirmer,पुष्टि करना,Jẹrisi,確認する,确认,يتأكد,Подтвердить
Approve,Approve,Aprovar,Approuver,मंज़ूरी देना,Fi ọwọ si,承認する,批准,يعتمد,Одобрить
Reject,Reject,Rejeitar,Rejeter,अस्वीकार करना,Kọ,拒否する,拒绝,يرفض,Отклонить
Show Account,Show Account,mostrar conta,Afficher le compte,खाता दिखाएं,Nípa ìfọ́pamọ,アカウントを表示する,显示账户,عرض الحساب,Показать аккаунт
Check Account,Check Account,verificar conta,Vérifier le compte,खाता जांचें,ṣi èèyàn ìfọ́pamọ,アカウントを確認する,查看账户,تحقق من الحساب,Проверить аккаунт
Import Account,Import Account,importar conta,Importer le compte,खाता आयात करें,Jẹ́ kó létí ìfọ́pamọ,アカウトをインポートする,导入账户,استيراد الحساب,Импортировать аккаунт
Transactions,Transactions,transações,transactions,लेन-देन,iwọṣọna,取引,交易,,Транзакции
Smart Contracts,Smart Contracts,contratos inteligentes,contrats intelligents,स्मार्ट समझौते,iṣakoso ọlọpaa,スマートコントラクト,智能合约,عقد ذكي,Умные контракты
Collectibles,Collectibles,colecionáveis,objets de collection,संग्रहीय,awọn idana,コレクタブル,收藏品,مقتنيات,Коллекционные предметы
Login,Login,login,Connexion,लॉगिन,tẹju ìsọdọ̀mọ,ログイン,登录,تسجيل الدخول,Вход
Show Mnemonic,Show Mnemonic,Mostrar Mnemônico,Mnémonique,म्नेमोनिक दिखाएं,ìyìn ìròyìn,ニーモニックを表示,显示助记词,عرض الكلمة المميزة,Показать мнемонику
Dash,Dash,Traço,Ruée,डैश,wẹ̀wẹ̀,ダッシュ,冲刺,اندفاع,Рывок
Dashboard,Dashboard,painel,Tableau de bord,डैशबोर्ड,pápa orí,ダッシュボード,仪表板,لوحة التحكم,Панель управления
Requests,Requests,pedidos,Demandes,अनुरोध,awọn ìfé,リクエスト,请求,طلبات,Запросы
Notifications,Notifications,notificações,Avis,सूचनाएँ,awọn ohun inú,通知,通知,إشعارات,Уведомления
Receive Payment,Receive Payment,Receber Pagamento,Recevoir un paiement,भुगतान प्राप्त करें,Nípà ifọwọsowọ,支払いを受ける,收款,استيراد الحساب,Получить оплату
Request Payout,Request Payout,Solicitar Pagamento,Demande un versement,भुगतान अनुरोध,ìbéèrè payout,支払いを要求する,请求支付,طلب دفع تعويضات,Запросить выплату
Merchant,Merchant,Comerciante,Marchand,व्यापारी,Ọlòjà,商人,商人,تاجر,Торговец
shaman,shaman,Xamã,Chaman,शमन,Baba,シャーマン,萨满,شامان,Шаман
old_woman,old woman,Mulher Idosa,Vieille Femme,बूढ़ी औरत,Ìyá àgbà,おばあさん,老女人,امرأة عجوز,Старуха
hint1,Use Your Inventory Items For Easier Progression,Use seus itens do inventário para uma progressão mais fácil.,Utilisez les objets de votre inventaire pour une progression plus facile.,अपने इन्वेंटरी आइटम का उपयोग करें सुगम प्रगति के लिए,"Pàápàá ní àwọn ohun tí o ní lọ pẹ̀lú láàárín, kọọkan rẹ yó gbogbo wa lọ",インベントリアイテムを使用して進行を容易にしてください,使用你的库存物品来更轻松地进行游戏进展,استخدم العناصر في المخزون لتسهيل التقدم,Используйте предметы из инвентаря для облегчения прохождения
hint2,Control Game Settings in Control Settings,Controle as configurações do jogo em Controles.,Contrôlez les paramètres du jeu dans les paramètres de contrôle.,नियंत्रण सेटिंग्स में गेम सेटिंग्स को नियंत्रित करें,Ṣe irọ̀-ẹ̀dá àwọn ìṣẹ̀tọ̀ àwọn iṣẹ̀tọ̀ ní irọ̀-ẹ̀dá,ゲーム設定をコントロール設定で調整する,在「控制设置」中管理游戏设定,ضبط إعدادات اللعب في إعدادات التحكم,Управляйте настройками игры в разделе «Настройки управления»
hint3,Press & Hold Direction Button or Joystick to Move,Pressione e segure o botão de direção ou joystick para se mover.,Appuyez et maintenez le bouton de direction ou le joystick pour vous déplacer.,दिशा बटन या जॉयस्टिक को दबाएं और रखें गति के लिए,Pọ̀sì àti pè àwọn èdá ìkànsí tó lọ,移動するには方向ボタンまたはジョイスティックを押し続けてください,按住方向按钮或摇杆以移动,اضغط واستمر في الضغط على زر الاتجاه أو الجويستيك للتحرك,"Нажмите и удерживайте кнопку направления или джойстик, чтобы двигаться"
hint4,Press Slash Button To Attack,Pressione o botão de barra invertida para atacar.,Appuyez sur le bouton de slash pour attaquer,हमला करने के लिए स्लैश बटन दबाएं,Pọ̀sì àwọn àmì ìkànsí pẹ̀lú pẹ̀lú láàárín,攻撃するにはスラッシュボタンを押してください,按下斜杠按钮进行攻击,اضغط على زر الشرطة للهجوم,"Нажмите кнопку «Slash», чтобы атаковать"
hint5,Press Dash Button to Dash,Pressione o botão de dash para dar um dash.,Appuyez sur le bouton de dash pour sprinter.,डैश करने के लिए डैश बटन दबाएं,Pọ̀sì àwọn àmì wẹ̀wẹ̀ pẹ̀lú pẹ̀lú láàárín,ダッシュするにはダッシュボタンを押してください,按下冲刺按钮进行冲刺,اضغط على زر الاندفاع للاندفاع,"Нажмите кнопку «Рывок», чтобы сделать рывок"
hint6,Use Generic Item For More Speed,Use item genérico para mais velocidade.,Utilisez l'objet générique pour plus de vitesse.,और गति के लिए सामान्य आइटम का उपयोग करें,Pàápàá àwọn ohun tó jẹ́ lẹ́tẹ̀tẹ̀ pẹ̀lú ohun tó jẹ́ fúnra,より速くするために汎用アイテムを使用してください,使用通用物品以提高速度,استخدم العنصر العام لزيادة السرعة,Используйте обычный предмет для увеличения скорости
hint7,Turn Off Vibration In the Control Settings,Desative a Vibração nas Configurações de Controle.,Désactivez la vibration dans les paramètres de contrôle.,नियंत्रण सेटिंग्स में विभ्रम बंद करें,Wọn bọ̀ tọrọ fún ìdá ìrọ̀-ẹ̀dá ní irọ̀-ẹ̀dá,コントロール設定で振動をオフにしてください,在控制设置中关闭振动,أوقف الاهتزاز في إعدادات التحكم,Отключите вибрацию в разделе «Настройки управления»
hint8,Explore the World and Discover New Secrets,Explore o mundo e descubra novos segredos.,Explorez le monde et découvrez de nouveaux secrets.,दुनिया का अन्वेषण करें और नए रहस्यों की खोज करें,Wọlé ní ilẹ̀ yìí àti rí àwọn ẹ̀tò tí wọ̀nyí,世界を探機し、新しい秘密を発見してください,探索这个世界，发现新的秘密,استكشف العالم واكتشف أسرار جديدة,Исследуйте мир и открывайте новые секреты
diag1,"You have no coins, and you want to earn free coins from ads? Okay Thank you!","Você não tem moedas e quer ganhar moedas grátis com anúncios? Tudo bem, obrigado!","Tu n’as pas de pièces et tu veux gagner des pièces gratuites grâce aux publicités ? D’accord, merci !","आपके पास कोई सिक्के नहीं हैं, और आप विज्ञापनों से मुफ्त सिक्के कमाना चाहते हैं? ठीक है, धन्यवाद!","O kò ní owó, o sì fẹ́ jèrè owó ọ̀fẹ́ láti inú ìpolówó? Dáadáa, ẹ ṣéun!",コインがありませんね。広告で無料のコインを稼ぎたいんですか？わかりました、ありがとうございます！,你没有金币，还想通过广告赚取免费金币吗？好的，谢谢！,"
ليس لديك أي عملات، وتريد كسب عملات مجانية من الإعلانات؟ حسنًا، شكرًا لك","У тебя нет монет, и ты хочешь заработать бесплатные монеты из рекламы? Хорошо, спасибо!"
diag2,Don’t jump in the hole,Não pule no buraco!,Ne saute pas dans le trou !,उस गड्ढे में मत कूदो!,Má fo sínú ihò náà!,穴に飛び込まないで！,不要跳进那个洞里！,لا تقفز في الحفرة,Не прыгай в яму!
quest,fetch quest one,Missão de Busca Um,Quête de Récupération Un,वस्तु लाने का मिशन एक,Ìṣẹ́ ìwádi ohun kan Ọ̀kan,お使いクエスト1,收集任务一,مهمة الإحضار واحد,Квест на доставку один
questdiag0,No active quests,Nenhuma missão ativa,Aucune quête active,कोई सक्रिय खोज नहीं,Kò sí iṣẹ́-ìwádìí tó ń lọ lọ́wọ́,アクティブなクエストはありません,没有活跃的任务,لا توجد مهام نشطة,Нет активных квестов
questdiag1,get me,Me busca,Viens me chercher,मुझे ले आओ,wá mú mi,迎えに来て,来接我,تعال خذني,Забери меня
questdiag2,thank you for the,Obrigado pelo,Merci pour le,इसके लिए धन्यवाद,Ẹ ṣé fún,をありがとう,感谢,شكرًا على الـ,Спасибо за
questdiag3,"please, remember to fetch me","Por favor, lembre-se de me buscar","S’il te plaît, n’oublie pas de venir me chercher","कृपया, मुझे लाना याद रखना।","Jọ̀wọ́, rántí láti wá mú mi",お願い、迎えに来るのを忘れないでね,请记得来接我,من فضلك، تذكّر أن تأتيني,"Пожалуйста, не забудь забрать меня"
dir1,North : Nmoru's temple,Norte: Templo de Nmoru,Nord : Temple de Nmoru,उत्तर: एनमोरू का मंदिर,Àríwá: ilẹ̀ Nmoru,北：ノモルの寺院,北方：Nmoru神庙,الشمال: معبد نمورو,Север: Храм Немору
dir2,East : Abbi City / South: Ukwani Desert,East: Cidade Abbi / Sul: Deserto de Ukwani,Est : Ville Abbi / Sud : Désert d'Ukwani,पूरब: आबी शहर / दक्षिण: उकवानी रेगिस्तान,Ọ̀kan: Ilẹ̀ Abbi / Ìwọ̀ọ̀: Ìwọ̀ọ̀ Ukwani,東：アビシティ  南：ウクワニ砂漠,东方：阿比城 / 南方：乌克瓦尼沙漠,الشرق: مدينة أبي / الجنوب: صحراء أوكواني,Восток: город Абби / Юг: пустыня Уквани
dir3,Signpost Clicked,Placa Clicada,Poteau indicateur cliqué,साइनपोस्ट क्लिक किया गया,Iwakọ Pọ̀sì,サインポストをクリックしました,路标被点击,لافتة انقرت,Указатель выбран
Stats,Stats,Estatísticos,Statistiques,आँकड़े,Awọn iṣiro,統計,统计数据,احصائيات,Статистика
Quests,Quests,Missões,Quêtes,खोज,Awọn ibeere,クエスト,任务,أسئلة,Задания
Inventory,Inventory,Inventário,Inventaire,भंडार,Oja,在庫,存货,جرد,Инвентарь
Character,Character,Personagem,Personnage,चरित्र,Ohun kikọ,キャラクター,特点,شخصية,Персонаж
vibration,vibration,vibração,vibration,विभ्रम,èdá,振動,振动,اهتزاز,bибрация
Vibration,Vibration,Vibração,Vibration,विभ्रम,èdá,振動,振动,اهتزاز,Вибрация
Rotate Page,Rotate Page,Girar Página,Faire pivoter la page,पृष्ठ को घुमाएं,Pípa Rẹ Rọté,ページを回転させる,旋转页面,تدوير الصفحة,Повернуть страницу
Direction,Direction,Direção,Direction,दिशा,ẹ̀dá,方向,方向,اتجاه,Направление
Lives,Lives,Vidas,Vies,जीवन,ẹ̀dá,生命,生命,حياة,Жизни
Attack,Attack,Ataque,Attaque,हमला,Ṣeré,攻撃,攻击,هجوم,Атака
Interact,Interact,Interagir,Interagir,अंतरक्रिया करना,fi ìṣekó ṣe,対話する,互动,تفاعل,Взаимодействовать
Zoom,Zoom,Zoom,Zoom,ज़ूम,fọwọ́ rẹ,ズーム,缩放,زووم,Масштаб
Movement,Movement,Movimento,Mouvement,आंदोलन,ìkànsí,動き,动作,حركة,Движение
Press Any Button To Skip,Press Any Button To Skip,Pressione qualquer botão para pular a cena,Appuyez sur n'importe quelle touche pour passer,कोई भी बटन दबाएं ताकि छोड़ जाए,Pọ̀sì èdá tó kọọkan,スキップするには任意のボタンを押してください,按任意按钮跳过,اضغط على أي زر للتخطي,"Нажмите любую кнопку, чтобы пропустить"
kills,Kills,Abates,Tués,हत्याएँ,Ìṣírò àwọn tí a pa,キル数,击杀数,القتلى,Убийства
deaths,Deaths,Mortes,Morts,मौतें,àwọn ikú,デス数,死亡数,الوفيات,Смерти
